,Open,High,Low,Close,Volume,datetime
26,219.02,219.75,218.62,219.55,213403,2026-08-27 00:00:00
26,312.19,312.2,311.6,311.65,6298,2026-08-27 00:00:00
26,61.7,61.72,61.7,61.72,27,2026-08-27 00:00:00
26,261.9,261.9,261.26,261.3,4836,2026-08-27 00:00:00
26,342.87,343.3,342.65,342.67,7476,2026-08-27 00:00:00
26,495.63,496.5,494.8,495.02,2542,2026-08-27 00:00:00
26,580.07,580.07,577.96,578.04,2974,2026-08-27 00:00:00
26,81.2,81.2,80.95,80.98,3723,2026-08-27 00:00:00
26,348.19,348.35,346.63,347.46,11324,2026-08-27 00:00:00
27,61.67,61.68,61.67,61.68,2,2026-08-27 01:00:00
27,219.53,219.55,218.74,218.84,197004,2026-08-27 00:30:00
27,311.65,311.82,310.76,310.97,13932,2026-08-27 00:30:00
27,80.97,81.0,80.85,80.88,8474,2026-08-27 00:30:00
27,277.14,277.14,276.24,276.48,974,2026-08-27 00:30:00
27,261.33,261.36,260.16,260.72,8768,2026-08-27 00:30:00
27,342.73,342.73,341.69,341.74,10920,2026-08-27 00:30:00
27,347.38,347.38,345.3,345.65,14595,2026-08-27 00:30:00
27,578.0,578.2,575.56,576.26,3097,2026-08-27 00:30:00
27,494.98,495.05,492.9,493.2,5806,2026-08-27 00:30:00
28,218.82,219.9,218.77,219.85,224607,2026-08-27 01:00:00
28,345.65,346.58,345.56,346.57,6065,2026-08-27 01:00:00
28,341.72,342.01,341.5,342.01,6054,2026-08-27 01:00:00
28,311.0,311.12,310.67,310.86,10045,2026-08-27 01:00:00
28,61.67,61.69,61.49,61.58,155,2026-08-27 01:30:00
28,493.35,493.47,492.55,493.21,3455,2026-08-27 01:00:00
28,260.73,260.73,260.0,260.27,9784,2026-08-27 01:00:00
28,276.48,276.52,276.01,276.14,98,2026-08-27 01:00:00
28,576.05,577.25,575.43,577.0,4070,2026-08-27 01:00:00
28,80.95,80.98,80.79,80.89,3137,2026-08-27 01:00:00
29,310.94,311.0,310.5,310.57,9197,2026-08-27 01:30:00
29,80.94,80.96,80.78,80.82,3822,2026-08-27 01:30:00
29,276.11,276.13,275.73,275.73,438,2026-08-27 01:30:00
29,576.93,577.52,576.5,576.5,3668,2026-08-27 01:30:00
